window,symbol,date,signal,regime,setup_date,setup_regime,wait_bars,B_BASE_BULL,B_STAGE_COMPONENT,B_BEAR_RECOVER,B_CRASH_RECOVER,outcome_complete,outcome_date,ret20_pct,mfe20_pct,mae20_pct,win,interference
recent,MRNA,2026-07-20,s,bull,,,,False,False,False,False,True,2026-08-17,8.317931276345437,10.10755062005979,-11.510668236134835,False,True
recent,NVDA,2026-04-07,b,bear,2026-04-06,bear,1.0,False,False,True,False,True,2026-05-05,6.504057678910113,17.523030551298604,-2.2764211101583554,True,False
recent,NVDA,2026-06-08,s,bull,,,,False,False,False,False,True,2026-07-08,-3.0861267451760432,1.6000429465880206,-9.885097591919322,True,False
recent,GOOGL,2025-10-10,s,bull,,,,False,False,False,False,True,2025-11-07,16.077589933379286,21.389612500709077,-0.2081511952146009,False,True
recent,GOOGL,2026-03-11,b,bull,2026-03-09,bull,2.0,False,True,False,False,True,2026-04-09,3.8035273553150395,4.973593274157495,-11.312828741307579,True,False
recent,GOOGL,2026-06-01,s,bull,,,,False,False,False,False,True,2026-06-30,-2.515071691210291,2.566901376500197,-9.926616791069842,True,False
recent,GOOGL,2026-08-03,b,bull,2026-07-31,bull,1.0,False,True,False,False,False,,,,,,
recent,AAOI,2025-09-15,b,bull,2025-09-10,bull,3.0,True,False,False,False,True,2025-10-13,-2.0202032527164904,18.518518042811174,-16.531985593545684,False,True
recent,AAOI,2025-11-21,jf,bear,,,,False,False,False,False,True,2025-12-22,87.86642106688159,90.29312585485837,-0.8649702537012027,True,False
recent,AAOI,2025-12-12,s,bull,,,,False,False,False,False,True,2026-01-13,1.4845605566196074,24.58431919320512,-20.42755643044917,False,True
recent,AAOI,2026-07-30,jf,bull,,,,False,False,False,False,True,2026-08-27,13.166833672413315,60.82917876845413,-11.95804335980858,True,False
recent,AAOI,2026-08-03,b,bull,2026-07-30,bull,2.0,True,False,False,False,False,,,,,,
recent,AAOI,2026-08-18,s,bull,,,,False,False,False,False,False,,,,,,
full,TQQQ,2021-12-02,s,bull,,,,False,False,False,False,True,2021-12-31,3.9562339727975404,9.362489435924903,-10.937520328013195,False,False
full,TQQQ,2022-01-24,jf,bear,,,,False,False,False,False,True,2022-02-22,-9.732234632439473,20.72020291059342,-12.816263763550573,False,True
full,TQQQ,2022-02-24,jf,bear,,,,False,False,False,False,True,2022-03-24,14.040011668695996,14.180011071545383,-20.880004399424145,True,False
full,TQQQ,2022-06-15,jf,bear,,,,False,False,False,False,True,2022-07-15,16.528911597637407,23.966914733614942,-7.264028242366183,True,False
